[2009/05/24 23:49:03; ip=84.2.186.99] as?#Nem.
[2009/06/30 18:05:02; ip=85.67.6.252] halot?#Igen.
[2009/06/30 18:05:12; ip=85.67.6.252] zombi?#Nem.
[2009/06/30 18:05:35; ip=85.67.6.252] él?#Igen.
[2009/06/30 18:05:41; ip=85.67.6.252] meghalt?#Nem.
[2009/06/30 18:05:47; ip=85.67.6.252] halott?#Igen.
[2009/07/03 21:46:54; ip=62.112.217.124] nem?#Igen.
[2009/07/03 21:47:06; ip=62.112.217.124] igen?#Nem.
[2009/07/03 21:47:11; ip=62.112.217.124] igen?#Nem.
[2009/07/03 21:47:12; ip=62.112.217.124] igen?#Nem.
[2009/07/03 21:47:13; ip=62.112.217.124] igen?#Nem.
[2009/07/03 21:47:17; ip=62.112.217.124] nem?#Nem.
[2009/07/03 21:47:19; ip=62.112.217.124] nem?#Nem.
[2009/07/03 21:47:22; ip=62.112.217.124] nem?#Igen.
[2009/07/03 21:47:24; ip=62.112.217.124] nem?#Nem.
[2009/07/03 21:47:40; ip=62.112.217.124] nem?#Nem.
[2009/07/04 18:32:55; ip=91.82.236.43] élő személy?#Nem.
[2009/07/04 18:33:11; ip=91.82.236.43] xx. században élt?#Nem.
[2009/07/04 18:33:17; ip=91.82.236.43] xix. században élt?#Igen.
[2009/07/04 18:33:23; ip=91.82.236.43] magyar?#Igen.
[2009/07/04 18:33:30; ip=91.82.236.43] költő?#Nem.
[2009/07/04 18:33:34; ip=91.82.236.43] tudós?#Igen.
[2009/07/04 18:33:45; ip=91.82.236.43] matematikus?#Nem.
[2009/07/04 18:33:57; ip=91.82.236.43] feltaláló?#Nem.
[2009/07/04 18:34:04; ip=91.82.236.43] orvos?#Nem.
[2009/07/04 18:34:48; ip=91.82.236.43] fizikus?#Igen.
[2009/07/04 18:35:03; ip=91.82.236.43] gravitációs muki?#Eldöntendő kérdést kérek.
[2009/07/04 18:35:19; ip=91.82.236.43] gravitációval foglalkozott?#Nem.
[2009/07/04 18:35:41; ip=91.82.236.43] kimérte az ekvivalencia elvet?#Nem.
[2009/07/04 18:36:08; ip=91.82.236.43] egyetemet neveztek el róla?#Nem.
[2009/07/04 18:37:33; ip=91.82.236.43] magyar fizikus?#Nem.
[2009/07/04 18:37:40; ip=91.82.236.43] magyar?#Igen.
[2009/07/04 18:37:45; ip=91.82.236.43] magyar a lelkem?#Igen.
[2009/07/04 18:38:04; ip=91.82.236.43] fizikus ez a jó ember?#Igen.
[2009/07/04 18:38:08; ip=91.82.236.43] magyar fizikus ez a jó ember?#Nem.
[2009/07/04 18:38:17; ip=91.82.236.43] ostoba robot...?#Nem.
[2009/07/04 18:38:44; ip=91.82.236.43] ingát neveztek el róla?#Nem.
[2009/07/04 18:39:04; ip=91.82.236.43] fotoeffektussal foglalkozott?#Igen.
[2009/07/04 18:39:56; ip=91.82.236.43] bzmeg, az a xx-ik században is élt!?#Nem.
[2009/07/04 18:39:59; ip=91.82.236.43] de...?#Igen.
[2009/07/04 18:40:15; ip=91.82.236.43] lénárd fülöp?#Igen.
[2009/07/04 18:41:29; ip=91.82.236.43] encsé, lf élt a xx-ik században is. egyébként egész ügyes...?#Igen.
[2009/07/04 18:41:46; ip=91.82.236.43] élő?#Igen.
[2009/07/04 18:41:51; ip=91.82.236.43] tudós?#Nem.
[2009/07/04 18:41:57; ip=91.82.236.43] művész?#Igen.
[2009/07/04 18:42:03; ip=91.82.236.43] színész?#Nem.
[2009/07/04 18:42:08; ip=91.82.236.43] muzsikus?#Nem.
[2009/07/04 18:42:14; ip=91.82.236.43] zenész?#Igen.
[2009/07/04 18:42:27; ip=91.82.236.43] magyar?#Nem.
[2009/07/04 18:42:32; ip=91.82.236.43] európai?#Igen.
[2009/07/04 18:42:45; ip=91.82.236.43] német?#Nem.
[2009/07/04 18:42:49; ip=91.82.236.43] angol?#Nem.
[2009/07/04 18:42:53; ip=91.82.236.43] olasz?#Nem.
[2009/07/04 18:43:06; ip=91.82.236.43] francia?#Igen.
[2009/07/04 18:43:17; ip=91.82.236.43] énekes?#Igen.
[2009/07/04 18:43:22; ip=91.82.236.43] zongorista?#Igen.
[2009/07/04 18:43:35; ip=91.82.236.43] hegedűs?#Nem.
[2009/07/04 18:44:01; ip=91.82.236.43] popénekes?#Nem.
[2009/07/04 18:46:58; ip=91.82.236.43] amerikai?#Nem.
[2009/07/04 19:37:06; ip=91.82.236.43] cleyderman?#Igen.
[2009/07/04 19:37:15; ip=91.82.236.43] richard cleyderman?#Nem.
[2009/07/04 19:37:40; ip=91.82.236.43] richard clayderman?#Nem.
[2009/07/04 19:37:45; ip=91.82.236.43] clayderman?#Nem.
[2009/07/16 18:31:25; ip=78.92.232.140] magyar?#Nem.
[2009/07/16 18:31:31; ip=78.92.232.140] amerikai?#Nem.
[2009/07/16 18:31:38; ip=78.92.232.140] európai?#Igen.
[2009/07/16 18:31:43; ip=78.92.232.140] német?#Nem.
[2009/07/16 18:31:48; ip=78.92.232.140] spanyol?#Igen.
[2009/07/16 18:31:53; ip=78.92.232.140] férfi?#Igen.
[2009/07/16 18:31:58; ip=78.92.232.140] élő?#Igen.
[2009/07/16 18:32:16; ip=78.92.232.140] sportoló?#Nem.
[2009/07/16 18:32:21; ip=78.92.232.140] művész?#Igen.
[2009/07/16 18:32:25; ip=78.92.232.140] festő?#Igen.
[2009/07/16 18:34:41; ip=78.92.232.140] ismerem?#Igen.
[2009/07/16 18:35:00; ip=78.92.232.140] egy meg egy az kettő?#Nem.
[2009/07/16 18:35:10; ip=78.92.232.140] 1 1=2?#Nem.
[2009/07/16 18:36:28; ip=78.92.232.140] vallejo?#Igen.
[2009/07/16 18:36:34; ip=78.92.232.140] boris vallejo?#Igen.
[2009/07/16 18:36:44; ip=78.92.232.140] boris vallejo?#Igen.
[2009/07/16 18:37:24; ip=78.92.232.140] boris vallejo?#Nem.
[2009/07/16 18:37:30; ip=78.92.232.140] élő?#Nem.
[2009/07/16 18:37:35; ip=78.92.232.140] magyar?#Igen.
[2009/07/16 18:37:41; ip=78.92.232.140] férfi?#Nem.
[2009/07/16 18:37:48; ip=78.92.232.140] művész?#Nem.
[2009/07/16 18:37:52; ip=78.92.232.140] sportoló?#Igen.
[2009/07/16 18:37:57; ip=78.92.232.140] atléta?#Igen.
[2009/07/16 18:38:10; ip=78.92.232.140] olimpiai bajnok?#Igen.
[2009/07/16 18:38:16; ip=78.92.232.140] münchen?#Igen.
[2009/07/16 18:39:11; ip=78.92.232.140] athén?#Igen.
[2009/07/16 18:39:15; ip=78.92.232.140] párizs?#Nem.
[2009/07/16 18:39:26; ip=78.92.232.140] gerelyhajító?#Nem.
[2009/07/16 18:39:31; ip=78.92.232.140] futó?#Nem.
[2009/07/16 18:39:38; ip=78.92.232.140] távolugró?#Igen.
[2009/07/16 18:39:44; ip=78.92.232.140] vaszi tünde?#Nem.
[2009/07/16 18:40:23; ip=78.92.232.140] úszó?#Nem.
[2009/07/16 18:40:55; ip=78.92.232.140] csák ibolya?#Nem.
[2009/07/16 18:41:12; ip=78.92.232.140] gyarmati olga?#Nem.
[2009/07/16 18:41:30; ip=78.92.232.140] németh angéla?#Nem.
[2009/07/16 18:41:59; ip=78.92.232.140] magyar női olimpiai bajnok?#Igen.
[2009/07/16 18:42:11; ip=78.92.232.140] gyarmati olga?#Nem.
[2009/07/16 18:42:36; ip=78.92.232.140] távolugrásban lett olimpiai bajnok?#Nem.
[2009/07/16 18:42:53; ip=78.92.232.140] atlétikában lett olimpiai bajnok?#Nem.
[2009/07/16 18:43:14; ip=78.92.232.140] úszásban lett olimpiai bajnok?#Nem.
[2009/07/16 18:43:23; ip=78.92.232.140] távolugró?#Igen.
[2009/07/16 18:43:33; ip=78.92.232.140] távolugrásban lett olimpiai bajnok?#Nem.
[2009/07/16 18:43:42; ip=78.92.232.140] magasugró?#Nem.
[2009/07/16 18:43:50; ip=78.92.232.140] hármasugró?#Igen.
[2009/07/16 18:44:01; ip=78.92.232.140] hármasugrásban lett olimpiai bajnok?#Igen.
[2009/07/16 18:44:37; ip=78.92.232.140] ónodi henrietta?#Nem.
[2009/07/16 18:45:51; ip=78.92.232.140] meghalt?#Igen.
[2009/07/16 18:45:57; ip=78.92.232.140] tegnap halt meg?#Nem.
[2009/07/16 18:46:14; ip=78.92.232.140] párizsban lett olimpiai bajnok?#Igen.
[2009/07/16 18:46:45; ip=78.92.232.140] nő?#Igen.
[2009/07/16 18:46:52; ip=78.92.232.140] magyar?#Igen.
[2009/07/16 18:47:17; ip=78.92.232.140] magyar származású?#Nem.
[2009/07/16 18:47:25; ip=78.92.232.140] európai?#Nem.
[2009/07/16 18:47:32; ip=78.92.232.140] amerikai?#Igen.
[2009/07/16 18:56:47; ip=78.92.232.140] amerikai távolugró olimpiai bajnok?#Nem.
[2009/07/16 18:56:57; ip=78.92.232.140] amerikai távolugró?#Igen.
[2009/07/16 18:57:01; ip=78.92.232.140] amerikai távolugró nő?#Igen.
[2009/07/16 18:57:17; ip=78.92.232.140] sprinter?#Nem.
[2009/07/16 18:57:26; ip=78.92.232.140] világbajnok?#Igen.
[2009/07/16 18:57:33; ip=78.92.232.140] világbajnok távolugró?#Nem.
[2009/07/16 18:57:41; ip=78.92.232.140] távolugró?#Igen.
[2009/07/16 18:57:50; ip=78.92.232.140] világbajnok ?#Nem.
[2009/07/16 18:57:54; ip=78.92.232.140] világbajnok?#Igen.
[2009/07/16 18:58:04; ip=78.92.232.140] világbajnok atléta?#Nem.
[2009/07/16 18:58:18; ip=78.92.232.140] doppingolt?#Igen.
[2009/07/16 18:58:23; ip=78.92.232.140] élő?#Nem.
[2009/07/16 18:58:30; ip=78.92.232.140] halott?#Nem.
[2009/07/16 18:58:35; ip=78.92.232.140] élőhalott?#Nem.
[2009/07/16 18:58:40; ip=78.92.232.140] él?#Nem.
[2009/07/16 18:58:46; ip=78.92.232.140] most akkor mi?#Eldöntendő kérdést kérek.
[2009/07/16 18:58:53; ip=78.92.232.140] élő?#Nem.
[2009/07/16 18:58:57; ip=78.92.232.140] meghalt?#Igen.
[2009/07/16 18:59:24; ip=78.92.232.140] kelly white?#Igen.
[2009/07/16 18:59:34; ip=78.92.232.140] kelly white meghalt?#Nem.
[2009/07/16 19:00:29; ip=78.92.232.140] marion jones?#Nem.
[2009/07/16 19:00:33; ip=78.92.232.140] kelly?#Nem.
[2009/07/16 19:00:38; ip=78.92.232.140] white?#Nem.
[2009/07/16 19:00:43; ip=78.92.232.140] kelly white?#Igen.
[2009/07/16 19:00:50; ip=78.92.232.140] kelly black?#Igen.
[2009/07/16 19:01:01; ip=78.92.232.140] kelly black vagy kelly white?#Nem.
[2009/07/16 19:01:13; ip=78.92.232.140] jones?#Nem.
[2009/07/16 19:01:17; ip=78.92.232.140] marion?#Nem.
[2009/07/16 19:01:28; ip=78.92.232.140] kelly white?#Igen.
[2009/07/16 19:01:45; ip=78.92.232.140] kelly white?#Nem.
[2009/07/16 19:01:51; ip=78.92.232.140] magyar?#Nem.
[2009/07/16 19:01:59; ip=78.92.232.140] európai?#Igen.
[2009/07/16 19:02:03; ip=78.92.232.140] spanyol?#Igen.
[2009/07/16 19:02:09; ip=78.92.232.140] boris vallejo?#Igen.
[2009/07/16 19:02:12; ip=78.92.232.140] boris vallejo?#Nem.
[2009/07/16 19:02:17; ip=78.92.232.140] magyar?#Igen.
[2009/07/16 19:02:22; ip=78.92.232.140] kelly white?#Igen.
[2009/07/16 19:02:25; ip=78.92.232.140] kelly white?#Igen.
[2009/07/16 19:02:27; ip=78.92.232.140] kelly white?#Igen.
[2009/07/16 19:02:29; ip=78.92.232.140] kelly white?#Igen.
[2009/08/04 08:48:41; ip=213.178.101.67] nő?#Nem.
[2009/08/04 08:48:51; ip=213.178.101.67] híres?#Igen.
[2009/08/04 08:49:01; ip=213.178.101.67] színész?#Nem.
[2009/08/04 08:49:06; ip=213.178.101.67] sportoló?#Nem.
[2009/08/04 08:49:12; ip=213.178.101.67] politikus?#Nem.
[2009/08/04 08:49:20; ip=213.178.101.67] magyar?#Nem.
[2009/08/04 08:49:26; ip=213.178.101.67] amerikai?#Nem.
[2009/08/04 08:49:31; ip=213.178.101.67] angol?#Nem.
[2009/08/04 08:49:55; ip=213.178.101.67] férfi?#Igen.
[2009/08/04 08:50:09; ip=213.178.101.67] francia?#Igen.
[2009/08/04 08:50:17; ip=213.178.101.67] louis de funes?#Nem.
[2009/08/04 08:51:25; ip=213.178.101.67] humorista?#Nem.
[2009/08/04 08:51:38; ip=213.178.101.67] közismert?#Nem.
[2009/08/15 18:29:29; ip=78.92.197.71] ez egy kutya?#Igen.
[2009/08/15 18:29:39; ip=78.92.197.71] ez egy kutyaól?#Nem.
[2009/08/15 18:29:47; ip=78.92.197.71] ez egy kutyafasza?#Igen.
[2009/08/15 18:29:54; ip=78.92.197.71] ez egy kutyafasza?#Igen.
[2009/08/15 18:29:55; ip=78.92.197.71] ez egy kutyafasza?#Igen.
[2009/08/15 18:29:56; ip=78.92.197.71] ez egy kutyafasza?#Igen.
[2009/08/17 21:09:36; ip=91.135.113.237] zöld a haja?#Nem.
[2009/08/17 21:09:48; ip=91.135.113.237] kék a haja?#Nem.
[2009/08/17 21:09:54; ip=91.135.113.237] fekete a haja?#Igen.
[2009/08/17 21:09:59; ip=91.135.113.237] fiú?#Nem.
[2009/08/17 21:10:04; ip=91.135.113.237] lány?#Igen.
[2009/08/17 21:10:15; ip=91.135.113.237] oops?#Nem.
[2009/08/17 21:10:17; ip=91.135.113.237] oops2?#Nem.
[2009/08/17 21:10:28; ip=91.135.113.237] színész?#Nem.
[2009/08/17 21:10:32; ip=91.135.113.237] híres?#Igen.
[2009/08/17 21:10:43; ip=91.135.113.237] Énekes?#Igen.
[2009/08/17 21:10:49; ip=91.135.113.237] rock?#Igen.
[2009/08/17 21:11:01; ip=91.135.113.237] metal?#Nem.
[2009/08/24 05:50:31; ip=212.92.7.1] asd?#Nem.
[2009/08/24 05:50:49; ip=212.92.7.1] a-val kezdődik?#Igen.
[2009/08/24 05:51:01; ip=212.92.7.1] andrás?#Nem.
[2009/08/24 05:51:09; ip=212.92.7.1] b van benne?#Nem.
[2009/08/24 05:51:13; ip=212.92.7.1] c van benne?#Igen.
[2009/08/24 05:51:16; ip=212.92.7.1] a van benne?#Nem.
[2009/08/24 05:52:00; ip=212.92.7.1] d van benne?#Igen.
[2009/08/24 05:52:04; ip=212.92.7.1] cd van benne?#Nem.
[2009/08/24 05:52:17; ip=212.92.7.1] b-vel kezdődik?#Nem.
[2009/08/24 05:52:20; ip=212.92.7.1] c-vel kezdődik?#Igen.
[2009/08/24 05:52:23; ip=212.92.7.1] c-vel kezdődik?#Igen.
[2009/08/24 05:52:23; ip=212.92.7.1] c-vel kezdődik?#Igen.
[2009/08/24 05:52:24; ip=212.92.7.1] c-vel kezdődik?#Igen.
[2009/08/24 05:52:24; ip=212.92.7.1] c-vel kezdődik?#Igen.
[2009/08/24 05:52:25; ip=212.92.7.1] c-vel kezdődik?#Igen.
[2009/08/24 05:52:25; ip=212.92.7.1] c-vel kezdődik?#Igen.
[2009/08/24 05:52:27; ip=212.92.7.1] a-vel kezdődik?#Igen.
[2009/08/24 05:52:37; ip=212.92.7.1] abc?#Nem.
[2009/09/03 14:27:57; ip=195.56.155.130] ember?#Igen.
[2009/09/03 14:28:03; ip=195.56.155.130] magyar?#Nem.
[2009/09/03 14:28:13; ip=195.56.155.130] informatikus?#Igen.
[2009/09/03 14:28:18; ip=195.56.155.130] bill gates?#Igen.
[2009/09/03 14:45:56; ip=195.56.155.130] bill gates?#Nem.
[2009/09/03 14:46:02; ip=195.56.155.130] magyar?#Igen.
[2009/09/03 14:46:07; ip=195.56.155.130] informatikus?#Nem.
[2009/09/03 14:46:13; ip=195.56.155.130] híres?#Nem.
[2009/09/03 14:46:16; ip=195.56.155.130] híres ember?#Nem.
[2009/09/03 14:46:19; ip=195.56.155.130] ember?#Nem.
[2009/09/03 14:46:23; ip=195.56.155.130] állat?#Igen.
[2009/09/03 14:46:30; ip=195.56.155.130] szürkemarha?#Nem.
[2009/09/03 14:46:35; ip=195.56.155.130] négy lába van?#Nem.
[2009/09/03 14:46:41; ip=195.56.155.130] két lába van?#Nem.
[2009/09/03 14:46:46; ip=195.56.155.130] van lába?#Igen.
[2009/09/03 14:47:01; ip=195.56.155.130] 4 lábú?#Igen.
[2009/09/03 14:47:05; ip=195.56.155.130] 2 lábú?#Nem.
[2009/09/03 14:47:09; ip=195.56.155.130] tehén?#Igen.
[2009/09/03 14:47:41; ip=195.56.155.130] tehén?#Nem.
[2009/09/03 14:47:44; ip=195.56.155.130] ember?#Igen.
[2009/09/03 14:47:47; ip=195.56.155.130] magyar?#Nem.
[2009/09/03 14:47:51; ip=195.56.155.130] híres?#Igen.
[2009/09/03 14:47:54; ip=195.56.155.130] szinész?#Igen.
[2009/09/03 14:47:59; ip=195.56.155.130] brad pitt?#Nem.
[2009/09/03 14:48:05; ip=195.56.155.130] amerikai?#Nem.
[2009/09/03 14:48:09; ip=195.56.155.130] orosz?#Igen.
[2009/09/03 14:48:14; ip=195.56.155.130] passz?#Nem.
[2009/09/20 17:38:18; ip=89.133.12.92] bajszos?#Nem.
[2009/09/20 17:38:30; ip=89.133.12.92] szakállas?#Nem.
[2009/09/20 17:38:34; ip=89.133.12.92] Öreg?#Nem.
[2009/09/20 17:38:37; ip=89.133.12.92] fiatal?#Igen.
[2009/09/20 17:38:43; ip=89.133.12.92] elmúlt húsz?#Nem.
[2009/09/20 17:38:50; ip=89.133.12.92] hoo?#Igen.
[2009/09/20 17:38:57; ip=89.133.12.92] vágó istván?#Nem.
[2009/09/20 17:39:01; ip=89.133.12.92] encsé?#Nem.
[2009/09/21 22:32:05; ip=213.16.84.140] hülye vagy?#Nem.
[2009/09/21 22:32:07; ip=213.16.84.140] hülye vagy?#Nem.
[2009/09/21 22:32:08; ip=213.16.84.140] hülye vagy?#Nem.
[2009/09/21 22:32:09; ip=213.16.84.140] hülye vagy?#Nem.
[2009/09/21 22:32:10; ip=213.16.84.140] hülye vagy?#Nem.
